country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Syria,,,,,,,0.888,,,,,,,,,,,,,,,,,,,,,0.971,,0.946,,,,,,,0.964
Tajikistan,,,,,,,,,,,,,,,0.997,,,,,,,,,,,0.998,,,,,,,,,,,0.999
Tanzania,,,,,,,,,,,,,,0.862,,,,,,,,,,,,,,0.809,,,,,,,,0.765,
Thailand,,,,,,0.976,,,,,,,,,,,,,,,,,,,,0.981,,,,,0.982,,,,,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.805,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,0.838,,,,,,0.849,,,0.876,,0.869
Tonga,,0.998,,,,,,,,,,,,,,,,,,,,0.993,,,,,,,,,,0.993,,,,,
Trinidad and Tobago,,,,,,0.992,,,,,,,,,,0.993,,,,,,,,,,,,,,0.995,,,,,,,0.996
Tunisia,,,,,,,,,,0.857,,,,,,,,,,0.904,,,,,,,,,,0.964,,,0.978,0.981,,0.982,
Turkey,0.908,,,,,0.936,,,,,0.957,,,,,0.966,,,,,,,,,,,,,,0.98,0.984,0.984,0.986,,0.99,0.992,0.995
Turkmenistan,,,,,,,,,,,,,,,,,,,,,0.998,,,,,,,,,,,,,,,,0.998
Uganda,,,,,,,,,,,,,,,,,0.772,,,,,,,,,,,0.86,,,,0.873,,,,0.896,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,0.998,,,,,,,,,,0.997
United Arab Emirates,0.655,,,,,,,,,,0.81,,,,,,,,,,,,,,,,,,,,0.936,,,,,,
Uruguay,0.977,,,,,,,,,,0.983,,,,,,,,,,,0.982,,,,,,,,,,0.983,0.985,0.986,0.981,0.984,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,0.998,,,,,,,,,,,0.999
Vanuatu,,,,,0.757,,,,,,,,,,,,,,,0.873,,,,,,,,,,0.921,,,,,,,0.944
Venezuela,,,,,,,0.923,,,,,,,,,0.945,,,,,,,,,,,0.963,,,,,,0.98,,0.983,,
Vietnam,,,,,0.961,,,,,,,,,,0.941,,,,,,,,,,0.942,0.956,,,,,,,,,,,0.975
Yemen,,,,,,,,,,,,,,,,,,,,0.828,,,,,,,,,,0.928,,,,,,,0.964
Zambia,,,,,,,,,,,,,,,,0.673,,,,,,,,,0.726,,,0.777,,,,,0.703,,,,
Zimbabwe,,,,,,,,0.938,,,,,,,,,,0.965,,,,,,,,,,,,,,,,,,,0.896
